owners equity,total operational expences,net profit,operational income,BCC score
933271938.91,925240945.94,9189199260.01,1000206118.00,0.7093438
1554951764.12,586456648.60,9237955163.70,695124138.59,0.6208391
6349506932.40,6850441331.93,9578481234.05,7141421743.25,0.7927938
507117529.29,310472772.31,9125118107.22,336734744.02,0.6127152
16334065454.45,6943517702.16,10950960935.87,8892285137.71,0.8678683
6528581235.47,15644740584.71,10735886336.88,17531101493.22,1.0000000
5214628870.52,1440432785.65,9220608472.58,1572382068.00,0.5965788
899804127.41,900388973.01,9140285887.88,946065765.65,0.6923904
515214243.01,352776660.80,9132651152.93,374372570.20,0.6128190
1308409996.12,545880174.50,9157007574.03,594345649.08,0.5708471
1344523648.83,568667473.55,9185981016.08,602028931.57,0.5561947
912176111.90,392974797.54,9157640658.26,436578527.14,0.5712256
854335733.37,200706101.24,9124875831.24,219707249.96,0.4791953
1921453986.13,612782023.84,8927394378.19,444533829.91,0.3620769
750381354.92,428252404.65,9129056274.91,448337435.51,0.5717013
1415559147.35,2088377435.93,9177503900.60,2152202589.83,0.7784351
681748135.68,612796892.64,9118588765.70,630075306.41,0.6557466
1179468265.68,582278570.42,9116571119.69,587122688.32,0.5359939
4982293318.03,2858018427.16,10081402630.34,3660045212.97,0.8855495
1053335789.32,264367146.99,9040710486.82,162605434.80,0.2696465
1034917858.38,525788902.77,9107457437.50,527177407.74,0.5304030
2150287892.97,1259626969.03,9320299091.19,1505623355.16,0.7440962
1427546963.58,1217019030.77,9201950401.12,1315765899.97,0.6902026
722712985.16,367347260.30,9134318955.17,406701295.65,0.5877894
4142865270.83,2211345946.84,9618011773.24,2790047965.03,0.8343421
832019715.72,554409014.95,9133719876.20,588311714.60,0.5967774
1573713207.43,925031282.89,8967341413.88,764866897.97,0.4516645
976030579.82,836761385.61,9133700115.39,815114039.33,0.6065691
1557376391.28,471084740.20,9170812104.53,545276238.70,0.5829220
2580494724.36,2391247173.58,9809475843.89,3125095692.33,0.9448011
5903013904.26,1531400844.06,9346316072.25,1791410466.89,0.6404338
1282590623.15,859345053.48,9106052091.42,812813080.19,0.5296570
2999817711.38,1098390821.17,9344542055.79,1327836602.18,0.6748180
1142358921.00,537398695.93,9218525493.56,648257708.63,0.6424549
1642890414.65,679575139.87,9175632070.35,732334723.15,0.5710823
1673769242.72,787810100.26,9119821510.40,765641123.96,0.5220700
5300295154.78,2218099828.07,9292122434.91,2429579842.64,0.6833970
1539521473.18,1347581985.75,9270891517.26,1535948714.45,0.7506946
2839074379.94,683493072.80,9195216091.30,773474068.86,0.5632987
2126965559.94,592411706.75,9204468603.51,705532759.42,0.6025103
2600400913.18,1104155277.50,9234627158.89,1151067350.39,0.5812546
5254378648.64,4141446872.24,9630221924.19,4573262879.25,0.7979856
1362223895.01,1313577245.17,9188065996.72,1416397943.56,0.7117693
2439889385.33,7578191594.35,9563896796.35,8051965604.73,0.9380249
1611511843.16,885995891.54,9364940113.70,1199368779.85,0.7978860
1247651692.44,377441748.13,9176911328.54,457715650.28,0.6028598
1910809453.70,478540704.63,9172472917.16,553410302.84,0.5683191
1294399231.78,719727357.68,9300169615.98,764066622.14,0.5776242
3670225130.72,1449142641.76,9384056487.42,1733985027.89,0.7081265
1788313686.19,1226158307.81,8803962978.27,886500947.23,0.4085535
2607869141.48,1638951651.52,9266077821.82,1826789161.84,0.7223088
1011168884.19,350263096.89,9131172928.58,362447205.87,0.5114773
2680277969.28,2438500306.47,9546309736.52,2950146669.43,0.8640101
1260838403.08,2326975950.16,9180575304.09,2384983443.48,0.8145753
922084600.53,983834554.68,9140481809.53,973203998.00,0.6666521
3488347567.79,1617648235.28,9202141975.78,1727536375.78,0.6525419
1778553368.14,410947618.95,9211820431.61,505945860.78,0.5939951
664300535.52,477882384.04,9110875991.19,490281760.15,0.6002859
2018135355.05,858529924.08,9239827318.41,1030221240.73,0.6583279
2465094947.53,837637947.37,9117486527.77,812192600.31,0.5060075
936031066.63,1366270035.23,9223978635.36,1452833756.71,0.7873002
2986964329.58,1874685038.88,9288207147.54,2102752601.82,0.7397362
1176724243.77,559066069.46,9190434795.70,642995032.52,0.6127648
5963664604.78,5401235917.19,9647362083.40,6003662456.20,0.8258231
619101035.78,319170271.06,9117473300.28,327577150.80,0.5539036
1575356033.26,2127429921.21,9217262903.07,2262733753.20,0.7881556
632978915.52,271039308.51,9103461060.50,254976206.89,0.4875728
759905057.67,326695985.98,9133075048.82,355240365.99,0.5517720
